Väljastaja:;Eesti Energia AS
Periood:;2020 kuni 2022
Kuupäev:;25.01.2022

Mõõtepunkti aadress: Sutu

Tarbimine 2020. aastal
;Päev (kWh);Öö (kWh);Kokku (kWh)
Jaanuar;39,153;40,772;79,925
Veebruar;31,930;38,141;70,071
Märts;27,137;31,569;58,706
Aprill;20,018;23,972;43,990
Mai;26,575;28,716;55,291
Juuni;35,855;34,418;70,273
Juuli;82,523;43,980;126,503
August;34,639;49,394;84,033
September;27,581;34,316;61,897
Oktoober;34,349;33,809;68,158
November;49,539;41,415;90,954
Detsember;56,796;56,558;113,354
Aasta kokku;466,095;457,060;923,155

Tarbimine 2021. aastal
;Päev (kWh);Öö (kWh);Kokku (kWh)
Jaanuar;68,467;75,949;144,416
Veebruar;106,830;116,759;223,589
Märts;56,428;72,579;129,007
Aprill;61,368;48,827;110,195
Mai;26,366;32,124;58,490
Juuni;53,334;56,047;109,381
Juuli;72,419;65,856;138,275
August;46,635;40,264;86,899
September;31,584;32,066;63,650
Oktoober;24,004;27,807;51,811
November;55,051;29,248;84,299
Detsember;103,928;78,096;182,024
Aasta kokku;706,414;675,622;1382,036

Tarbimine 2022. aastal
;Päev (kWh);Öö (kWh);Kokku (kWh)
Jaanuar;92,142;105,257;197,399
Veebruar;;;
Märts;;;
Aprill;;;
Mai;;;
Juuni;;;
Juuli;;;
August;;;
September;;;
Oktoober;;;
November;;;
Detsember;;;
Aasta kokku;92,142;105,257;197,399

Mõõtepunkti aadress: Kuressaare

Tarbimine 2020. aastal
;Päev (kWh);Öö (kWh);Kokku (kWh)
Jaanuar;211,679;162,732;374,411
Veebruar;191,309;177,333;368,642
Märts;200,175;161,868;362,043
Aprill;183,016;140,080;323,096
Mai;201,981;173,483;375,464
Juuni;239,902;160,828;400,730
Juuli;241,259;161,027;402,286
August;207,633;164,666;372,299
September;193,328;141,180;334,508
Oktoober;220,681;174,017;394,698
November;218,003;207,286;425,289
Detsember;289,374;176,477;465,851
Aasta kokku;2598,340;2000,977;4599,317

Tarbimine 2021. aastal
;Päev (kWh);Öö (kWh);Kokku (kWh)
Jaanuar;237,812;181,225;419,037
Veebruar;303,344;233,616;536,960
Märts;259,204;156,371;415,575
Aprill;183,908;138,430;322,338
Mai;162,149;149,833;311,982
Juuni;172,354;129,582;301,936
Juuli;235,156;155,579;390,735
August;223,607;185,733;409,340
September;168,697;131,144;299,841
Oktoober;178,358;169,064;347,422
November;255,831;158,517;414,348
Detsember;311,961;181,998;493,959
Aasta kokku;2692,381;1971,092;4663,473

Tarbimine 2022. aastal
;Päev (kWh);Öö (kWh);Kokku (kWh)
Jaanuar;204,131;177,788;381,919
Veebruar;;;
Märts;;;
Aprill;;;
Mai;;;
Juuni;;;
Juuli;;;
August;;;
September;;;
Oktoober;;;
November;;;
Detsember;;;
Aasta kokku;204,131;177,788;381,919

Mõõtepunktide summeeritud tarbimine

Tarbimine 2020. aastal
;Päev (kWh);Öö (kWh);Kokku (kWh)
Jaanuar;250,832;203,504;454,336
Veebruar;223,239;215,474;438,713
Märts;227,312;193,437;420,749
Aprill;203,034;164,052;367,086
Mai;228,556;202,199;430,755
Juuni;275,757;195,246;471,003
Juuli;323,782;205,007;528,789
August;242,272;214,060;456,332
September;220,909;175,496;396,405
Oktoober;255,030;207,826;462,856
November;267,542;248,701;516,243
Detsember;346,170;233,035;579,205
Aasta kokku;3064,435;2458,037;5522,472

Tarbimine 2021. aastal
;Päev (kWh);Öö (kWh);Kokku (kWh)
Jaanuar;306,279;257,174;563,453
Veebruar;410,174;350,375;760,549
Märts;315,632;228,950;544,582
Aprill;245,276;187,257;432,533
Mai;188,515;181,957;370,472
Juuni;225,688;185,629;411,317
Juuli;307,575;221,435;529,010
August;270,242;225,997;496,239
September;200,281;163,210;363,491
Oktoober;202,362;196,871;399,233
November;310,882;187,765;498,647
Detsember;415,889;260,094;675,983
Aasta kokku;3398,795;2646,714;6045,509

Tarbimine 2022. aastal
;Päev (kWh);Öö (kWh);Kokku (kWh)
Jaanuar;296,273;283,045;579,318
Veebruar;;;
Märts;;;
Aprill;;;
Mai;;;
Juuni;;;
Juuli;;;
August;;;
September;;;
Oktoober;;;
November;;;
Detsember;;;
Aasta kokku;296,273;283,045;579,318

